sum	species
528	hs
341	hs
635	hs
31	hs
147	hs
131	hs
36	hs
61	hs
92	hs
870	hs
1703	hs
3753	hs
272	hs
297	hs
5417	hs
344	hs
888	hs
1335	hs
1355	hs
1310	hs
1441	hs
1380	hs
312	hs
1173	hs
1378	hs
1384	hs
1589	hs
1335	hs
1384	hs
1291	hs
1604	hs
1183	hs
1369	hs
695	hs
663	hs
644	hs
812	hs
776	hs
879	hs
995	hs
6	hs
128	hs
133	hs
77	hs
116	hs
118	hs
105	hs
135	hs
138	hs
144	hs
163	hs
117	hs
143	hs
87	hs
119	hs
924	hs
770	hs
843	hs
796	hs
1008	hs
984	hs
801	hs
877	hs
872	hs
942	hs
995	hs
1025	hs
640	hs
382	hs
436	hs
606	hs
1037	hs
986	hs
981	hs
177	hs
1127	hs
1165	hs
1093	hs
1645	hs
1217	hs
1058	hs
1264	hs
1301	hs
913	hs
1266	hs
1558	hs
1679	hs
1721	hs
1608	hs
2	hs
2	hs
836	hs
780	hs
130	hs
180	hs
408	hs
443	hs
452	hs
418	hs
370	hs
419	hs
407	hs
513	hs
374	hs
383	hs
445	hs
468	hs
501	hs
481	hs
543	hs
539	hs
542	hs
571	hs
620	hs
639	hs
104	hs
317	hs
296	hs
455	hs
456	hs
453	hs
177	hs
